annee,regime,indicateur,valeur,unite,denominateur,source,note
2017,"artistes, créateurs et intellectuels (RACI)","pensionnés, toutes natures",193.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",orphelins compris ; fin d'année
2004,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.256,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2005,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.275,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2006,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.306,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2007,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.34,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2008,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.35,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2009,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.385,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2010,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.404,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2011,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.41,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2012,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.418,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
2013,"artistes, créateurs et intellectuels (RACI)",pensions servies (numérateur),0.407,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)","toutes natures, orphelins compris ; montants en milliers de dinars dans l'annuaire"
